id,crossing_id,crossing_label,month,vehicle_type,direction,registration,count,joint_reported_with,source_resource_id,source_dataset,fetched_at
2,budomierz,Budomierz – Hruszew,2026-01,total,do_RP,all,8788,,1908844,2708,2026-06-28T10:11:01Z
1,budomierz,Budomierz – Hruszew,2026-01,total,z_RP,all,8931,,1908844,2708,2026-06-28T10:11:01Z
4,budomierz,Budomierz – Hruszew,2026-01,truck,do_RP,all,864,,1908844,2708,2026-06-28T10:11:01Z
3,budomierz,Budomierz – Hruszew,2026-01,truck,z_RP,all,1808,,1908844,2708,2026-06-28T10:11:01Z
6,dolhobyczow,Dołhobyczów – Uhrynów,2026-01,total,do_RP,all,11856,,1908844,2708,2026-06-28T10:11:01Z
5,dolhobyczow,Dołhobyczów – Uhrynów,2026-01,total,z_RP,all,9058,,1908844,2708,2026-06-28T10:11:01Z
8,dolhobyczow,Dołhobyczów – Uhrynów,2026-01,truck,do_RP,all,4202,,1908844,2708,2026-06-28T10:11:01Z
7,dolhobyczow,Dołhobyczów – Uhrynów,2026-01,truck,z_RP,all,3270,,1908844,2708,2026-06-28T10:11:01Z
10,dorohusk,Dorohusk – Jagodzin,2026-01,total,do_RP,all,17466,,1908844,2708,2026-06-28T10:11:01Z
9,dorohusk,Dorohusk – Jagodzin,2026-01,total,z_RP,all,16896,,1908844,2708,2026-06-28T10:11:01Z
12,dorohusk,Dorohusk – Jagodzin,2026-01,truck,do_RP,all,16040,,1908844,2708,2026-06-28T10:11:01Z
11,dorohusk,Dorohusk – Jagodzin,2026-01,truck,z_RP,all,15401,,1908844,2708,2026-06-28T10:11:01Z
14,hrebenne,Hrebenne – Rawa Ruska,2026-01,total,do_RP,all,19868,,1908844,2708,2026-06-28T10:11:01Z
13,hrebenne,Hrebenne – Rawa Ruska,2026-01,total,z_RP,all,21831,,1908844,2708,2026-06-28T10:11:01Z
16,hrebenne,Hrebenne – Rawa Ruska,2026-01,truck,do_RP,all,6041,,1908844,2708,2026-06-28T10:11:01Z
15,hrebenne,Hrebenne – Rawa Ruska,2026-01,truck,z_RP,all,7372,,1908844,2708,2026-06-28T10:11:01Z
18,korczowa,Korczowa – Krakowiec,2026-01,total,do_RP,all,29420,,1908844,2708,2026-06-28T10:11:01Z
17,korczowa,Korczowa – Krakowiec,2026-01,total,z_RP,all,35165,,1908844,2708,2026-06-28T10:11:01Z
20,korczowa,Korczowa – Krakowiec,2026-01,truck,do_RP,all,7374,,1908844,2708,2026-06-28T10:11:01Z
19,korczowa,Korczowa – Krakowiec,2026-01,truck,z_RP,all,8517,,1908844,2708,2026-06-28T10:11:01Z
22,kroscienko,Krościenko – Smolnica,2026-01,total,do_RP,all,6156,,1908844,2708,2026-06-28T10:11:01Z
21,kroscienko,Krościenko – Smolnica,2026-01,total,z_RP,all,5615,,1908844,2708,2026-06-28T10:11:01Z
24,kroscienko,Krościenko – Smolnica,2026-01,truck,do_RP,all,620,,1908844,2708,2026-06-28T10:11:01Z
23,kroscienko,Krościenko – Smolnica,2026-01,truck,z_RP,all,612,,1908844,2708,2026-06-28T10:11:01Z
26,malhowice,Malhowice – Niżankowice *),2026-01,total,do_RP,all,4360,,1908844,2708,2026-06-28T10:11:01Z
25,malhowice,Malhowice – Niżankowice *),2026-01,total,z_RP,all,4152,,1908844,2708,2026-06-28T10:11:01Z
28,malhowice,Malhowice – Niżankowice *),2026-01,truck,do_RP,all,0,,1908844,2708,2026-06-28T10:11:01Z
27,malhowice,Malhowice – Niżankowice *),2026-01,truck,z_RP,all,0,,1908844,2708,2026-06-28T10:11:01Z
30,medyka,Medyka – Szeginie,2026-01,total,do_RP,all,26354,,1908844,2708,2026-06-28T10:11:01Z
29,medyka,Medyka – Szeginie,2026-01,total,z_RP,all,28032,,1908844,2708,2026-06-28T10:11:01Z
32,medyka,Medyka – Szeginie,2026-01,truck,do_RP,all,5034,,1908844,2708,2026-06-28T10:11:01Z
31,medyka,Medyka – Szeginie,2026-01,truck,z_RP,all,4799,,1908844,2708,2026-06-28T10:11:01Z
34,zosin,Zosin – Ustiług,2026-01,total,do_RP,all,12701,,1908844,2708,2026-06-28T10:11:01Z
33,zosin,Zosin – Ustiług,2026-01,total,z_RP,all,14318,,1908844,2708,2026-06-28T10:11:01Z
36,zosin,Zosin – Ustiług,2026-01,truck,do_RP,all,3632,,1908844,2708,2026-06-28T10:11:01Z
35,zosin,Zosin – Ustiług,2026-01,truck,z_RP,all,3620,,1908844,2708,2026-06-28T10:11:01Z
38,budomierz,Budomierz – Hruszew,2026-02,total,do_RP,all,7364,,1908844,2708,2026-06-28T10:11:01Z
37,budomierz,Budomierz – Hruszew,2026-02,total,z_RP,all,6973,,1908844,2708,2026-06-28T10:11:01Z
40,budomierz,Budomierz – Hruszew,2026-02,truck,do_RP,all,904,,1908844,2708,2026-06-28T10:11:01Z
39,budomierz,Budomierz – Hruszew,2026-02,truck,z_RP,all,1908,,1908844,2708,2026-06-28T10:11:01Z
42,dolhobyczow,Dołhobyczów – Uhrynów,2026-02,total,do_RP,all,11054,,1908844,2708,2026-06-28T10:11:01Z
41,dolhobyczow,Dołhobyczów – Uhrynów,2026-02,total,z_RP,all,8037,,1908844,2708,2026-06-28T10:11:01Z
44,dolhobyczow,Dołhobyczów – Uhrynów,2026-02,truck,do_RP,all,4636,,1908844,2708,2026-06-28T10:11:01Z
43,dolhobyczow,Dołhobyczów – Uhrynów,2026-02,truck,z_RP,all,3506,,1908844,2708,2026-06-28T10:11:01Z
46,dorohusk,Dorohusk – Jagodzin,2026-02,total,do_RP,all,17275,,1908844,2708,2026-06-28T10:11:01Z
45,dorohusk,Dorohusk – Jagodzin,2026-02,total,z_RP,all,18262,,1908844,2708,2026-06-28T10:11:01Z
