id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
40,2026-06-13T04:16:00Z,budomierz,Budomierz,120,,0,,60,,2026-6-13,4
38,2026-06-13T04:16:00Z,dolhobyczow,Dołhobyczów,120,,0,,0,,2026-6-13,4
36,2026-06-13T04:16:00Z,dorohusk,Dorohusk,1380,,,,180,,2026-6-13,4
39,2026-06-13T04:16:00Z,hrebenne,Hrebenne,1200,,0,,0,,2026-6-13,4
41,2026-06-13T04:16:00Z,korczowa,Korczowa,900,,60,,60,,2026-6-13,4
44,2026-06-13T04:16:00Z,kroscienko,Krościenko,120,,0,,0,,2026-6-13,4
43,2026-06-13T04:16:00Z,malhowice,Małhowice,,,0,,0,,2026-6-13,4
42,2026-06-13T04:16:00Z,medyka,Medyka,1020,,0,,0,,2026-6-13,4
37,2026-06-13T04:16:00Z,zosin,Zosin,60,,60,,60,,2026-6-13,4
49,2026-06-13T09:24:00Z,budomierz,Budomierz,120,,0,,0,,2026-6-13,9
47,2026-06-13T09:24:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-6-13,9
45,2026-06-13T09:24:00Z,dorohusk,Dorohusk,1440,,,,60,,2026-6-13,9
48,2026-06-13T09:24:00Z,hrebenne,Hrebenne,1080,,0,,0,,2026-6-13,9
50,2026-06-13T09:24:00Z,korczowa,Korczowa,840,,60,,60,,2026-6-13,9
53,2026-06-13T09:24:00Z,kroscienko,Krościenko,60,,0,,0,,2026-6-13,9
52,2026-06-13T09:24:00Z,malhowice,Małhowice,,,0,,0,,2026-6-13,9
51,2026-06-13T09:24:00Z,medyka,Medyka,960,,0,,0,,2026-6-13,9
46,2026-06-13T09:24:00Z,zosin,Zosin,60,,60,,0,,2026-6-13,9
58,2026-06-13T15:04:00Z,budomierz,Budomierz,180,,60,,0,,2026-6-13,15
56,2026-06-13T15:04:00Z,dolhobyczow,Dołhobyczów,120,,0,,0,,2026-6-13,15
54,2026-06-13T15:04:00Z,dorohusk,Dorohusk,1260,,,,,,2026-6-13,15
57,2026-06-13T15:04:00Z,hrebenne,Hrebenne,1080,,0,,0,,2026-6-13,15
59,2026-06-13T15:04:00Z,korczowa,Korczowa,600,,60,,0,,2026-6-13,15
62,2026-06-13T15:04:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-13,15
61,2026-06-13T15:04:00Z,malhowice,Małhowice,,,0,,0,,2026-6-13,15
60,2026-06-13T15:04:00Z,medyka,Medyka,1020,,,,,,2026-6-13,15
55,2026-06-13T15:04:00Z,zosin,Zosin,120,,0,,0,,2026-6-13,15
67,2026-06-13T16:18:00Z,budomierz,Budomierz,180,,120,,0,,2026-6-13,16
65,2026-06-13T16:18:00Z,dolhobyczow,Dołhobyczów,60,,0,,0,,2026-6-13,16
63,2026-06-13T16:18:00Z,dorohusk,Dorohusk,1440,,,,0,,2026-6-13,16
66,2026-06-13T16:18:00Z,hrebenne,Hrebenne,1200,,0,,0,,2026-6-13,16
68,2026-06-13T16:18:00Z,korczowa,Korczowa,660,,30,,0,,2026-6-13,16
71,2026-06-13T16:18:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-13,16
70,2026-06-13T16:18:00Z,malhowice,Małhowice,,,0,,0,,2026-6-13,16
69,2026-06-13T16:18:00Z,medyka,Medyka,1020,,,,,,2026-6-13,16
64,2026-06-13T16:18:00Z,zosin,Zosin,180,,60,,0,,2026-6-13,16
76,2026-06-13T19:43:00Z,budomierz,Budomierz,180,,0,,0,,2026-6-13,19
74,2026-06-13T19:43:00Z,dolhobyczow,Dołhobyczów,60,,0,,0,,2026-6-13,19
72,2026-06-13T19:43:00Z,dorohusk,Dorohusk,1740,,,,0,,2026-6-13,19
75,2026-06-13T19:43:00Z,hrebenne,Hrebenne,1800,,0,,0,,2026-6-13,19
77,2026-06-13T19:43:00Z,korczowa,Korczowa,420,,60,,60,,2026-6-13,19
80,2026-06-13T19:43:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-13,19
79,2026-06-13T19:43:00Z,malhowice,Małhowice,,,0,,0,,2026-6-13,19
78,2026-06-13T19:43:00Z,medyka,Medyka,1080,,0,,0,,2026-6-13,19
73,2026-06-13T19:43:00Z,zosin,Zosin,180,,0,,0,,2026-6-13,19
85,2026-06-13T22:09:00Z,budomierz,Budomierz,180,,0,,0,,2026-6-13,22
83,2026-06-13T22:09:00Z,dolhobyczow,Dołhobyczów,60,,0,,0,,2026-6-13,22
81,2026-06-13T22:09:00Z,dorohusk,Dorohusk,1740,,,,0,,2026-6-13,22
84,2026-06-13T22:09:00Z,hrebenne,Hrebenne,1800,,0,,0,,2026-6-13,22
86,2026-06-13T22:09:00Z,korczowa,Korczowa,420,,60,,60,,2026-6-13,22
89,2026-06-13T22:09:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-13,22
88,2026-06-13T22:09:00Z,malhowice,Małhowice,,,0,,0,,2026-6-13,22
87,2026-06-13T22:09:00Z,medyka,Medyka,1080,,0,,0,,2026-6-13,22
82,2026-06-13T22:09:00Z,zosin,Zosin,180,,0,,0,,2026-6-13,22
